Year,Race,Sex,Average Life Expectancy (Years),Age-adjusted Death Rate
2000,All Races,Both Sexes,76.8,869.0
2001,All Races,Both Sexes,77.0,858.8
2002,All Races,Both Sexes,77.0,855.9
2003,All Races,Both Sexes,77.6,843.5
2004,All Races,Both Sexes,77.5,813.7
2005,All Races,Both Sexes,77.6,815.0
2006,All Races,Both Sexes,77.8,791.8
2007,All Races,Both Sexes,78.1,775.3
2008,All Races,Both Sexes,78.2,774.9
2009,All Races,Both Sexes,78.5,749.6
2010,All Races,Both Sexes,78.7,747.0
2011,All Races,Both Sexes,78.7,741.3
2012,All Races,Both Sexes,78.8,732.8
2013,All Races,Both Sexes,78.8,731.9
2014,All Races,Both Sexes,78.9,724.6
2015,All Races,Both Sexes,78.7,733.1
2016,All Races,Both Sexes,78.7,728.8
2017,All Races,Both Sexes,78.6,731.9
2018,All Races,Both Sexes,78.7,723.6